"State","Expenditure","Income","Income2"
"AL",275,6247,39025009
"AR",275,6183,38229489
"CT",531,8914,79459396
"FL",316,7505,56325025
"ID",304,6813,46416969
"IA",431,7873,61984129
"LA",316,6640,44089600
"MA",427,8063,65011969
"MS",259,5736,32901696
"NB",294,7391,54626881
"NJ",423,8818,77757124
"NC",335,6607,43652449
"OK",320,6951,48316401
"RI",342,7526,56640676
"TN",268,6489,42107121
"VT",353,6541,42784681
"WV",320,6456,41679936
"AK",821,10851,117744201
"CA",387,8850,78322500
"DE",424,8604,74028816
"GA",265,6700,44890000
"IL",437,8745,76475025
"KS",355,8001,64016001
"ME",327,6333,40106889
"MI",466,8442,71267364
"MO",274,7342,53904964
"NV",359,9032,81577024
"NM",388,6505,42315025
"ND",311,7478,55920484
"OR",397,7839,61449921
"SC",315,6242,38962564
"TX",315,7697,59243809
"VA",356,7624,58125376
"AZ",339,7374,54375876
"CO",452,8001,64016001
"DC",428,10022,100440484
"HI",403,8380,70224400
"IN",345,7696,59228416
"KY",260,6615,43758225
"MD",427,8306,68989636
"MN",477,7847,61575409
"MT",433,7051,49716601
"NH",279,7277,52954729
"NY",447,8267,68343289
"OH",322,7812,61027344
"PA",412,7733,59799289
"SD",321,6841,46799281
"UT",417,6622,43850884
"WA",415,8450,71402500
"WY",500,9096,82737216
